date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-11-29,2702,4320,3235609,748.983564814815,,0.163225333594976,,0.17107,,207.949075,,0,0,,0,,41.70868744,,,,,,31112484745,1274,2457,745947346.976415,,2488753.65616489,,5187951.556556,,6114867733.197139,,,,
2017-11-30,6444,4318,4091696,947.590551181102,,0.16937319334784,,0.171246,,544.873563,,0,0,,0,,7.45186423,,,,,,31112484745,3217,6343,4175127696.299646,,2390031.5404681,,4364138.974755,,15159970061.189134,,,,
2017-12-01,6231,4320,4055459,938.763657407407,4043204577.814003513796035,0.171079601626016,0.02223254857765954142334879229,0.17107,0.02223130080402202801,526.069775,68.365086876303193840325,0,0,0,0,0,5.31530063,,0.000012022843028106617,0.129954409329643,,,31112484745,3075,6052,5853381942.130356,760672792.8703489984892809429,4048209.11720504,526082.6246692565030441810007,4088829.533921,531361.426930303041739320203,24499761577.324874,3183852044.49833670730356944,,,
2017-12-02,4386,4320,3772530,873.270833333333,4152085403.439260108394925,0.16824837814015,0.02245341832237661428380276475,0.17107,0.02282997503375245855,381.75557,50.94680617347249110105,0,0,0,0,0,30.57720031,,0.000012204453995069146,0.133453995637765,,,31112484745,2269,4445,1017505999.014223,135790241.1538438346321909316,1571441.76516023,209715.182472695065976264086,3875956.113364,517261.83024504783981959146,6985058646.13722,932183986.0911292546476041133,,,
2017-12-03,3920,4320,3661244,847.510185185185,4107003509.70654282542527,0.169489136409736,0.02237341323899833533149227346,0.17107,0.02258209513524659122,334.232577,44.120370907304797532742,0,0,0,0,0,36.62357806,,0.000011771506489764278,0.132004998744646,,,31112484745,1972,3874,849520620.026787,112140968.3801869095018928324,1473885.75255544,194560.2869158324821865181742,3752053.54804,495289.82389886477025379384,5709833405.399787,753726551.5119366781327557904,,,
2017-12-04,5293,4320,3850538,891.328240740741,4249515504.77292506658243,0.170564473265896,0.02329664054952522961236163934,0.17107,0.02336568819108325098,472.122462,64.485101041085818084068,0,0,0,0,0,10.13360488,,0.000011813182876342967,0.136585539200814,,,31112484745,2768,5467,3070228721.760494,419348845.4314830124278778421,6030728.1967117,823710.2625214202242007633238,3676783.730744,502195.488388449759121625616,32969991051.422871,4503224005.204605335462901417,,,
2017-12-05,6005,4320,4138283,957.93587962963,4009392354.212362640382655,0.170548545483461,0.02197818785249284358594815626,0.17107,0.02204538646323758533,536.204627,69.099422608237321881413,0,0,0,0,0,9.47224954,,0.000010979836086071163,0.128867635840519,,,31112484745,3144,6195,3284593022.810875,423277737.5479013564705988441,4655588.77101965,599954.7183669696522564151984,3516170.619766,453120.594981136886565098554,28841372436.466726,3716719480.283376254739586071,,,
2017-12-06,6270,4320,4076524,943.639814814815,3769056006.00301170654145,0.171669678075856,0.02079655921098977461575178576,0.17107,0.0207239124818069947,556.724766,67.44324152123971696686,0,0,0,0,0,25.15861333,,0.000008657928404441826,0.12114288000121,,,31112484745,3243,6418,1236653401.04626,149811754.5660353002440659746,3081383.41768317,373287.6616061106152649966357,3329333.755725,403325.07965377148184442725,19776318774.690567,2395760212.188015740930335586,,,
2017-12-07,5893,4319,4170598,965.63973141931,3334172880.72855604318065,0.171885790909091,0.01842015985958083880310099867,0.17107,0.0183327355362672459,529.408236,56.73409236750895350732,0,0,0,0,0,26.15833402,,0.000006291877941342484,0.10716511098537,,,31112484745,3080,6088,1189390911.680485,127461209.0552295825209495044,3170456.29690171,339762.3009317369326161379827,3208732.12368,343864.1341564891775105616,19301737935.537604,2068472888.072413751337128853,,,
2017-12-08,5694,4318,4039566,935.517832329782,3605611300.970762038435065,0.170923781281449,0.01980827704518484973571366351,0.17107,0.01982522226406858659,509.523792,59.048473871696098599504,0,0,0,0,0,8.48859643,,0.000007110447106955019,0.115889532145137,,,31112484745,2981,5903,3665209553.067882,424759420.3189235281148371898,2686488.43555582,311335.8879098850117475050473,3072747.134936,356099.227868043190875206232,15858341235.086025,1837815746.33205348882698041,,,
2017-12-09,4509,4319,3726015,862.703172030563,3763512521.617020158683665,0.172439308625921,0.02085907000201682278811217006,0.17107,0.02069343198879320619,397.817485,48.121874494652840776245,0,0,0,0,0,28.62076765,,0.000008037510165113032,0.120964704441417,,,31112484745,2307,4577,1087059757.796511,131495862.3120133024550064961,2133857.81496667,258121.4799074511215248225714,2933469.438618,354846.263630355818258441706,9766667219.102457,1181422013.536404800532277262,,,
2017-12-10,3788,4320,3689957,854.156712962963,3413503152.685379845728865,0.171948452987013,0.0188653073253774509724241559,0.17107,0.01876892794374877339,331.000772,36.315716601351590379044,0,0,0,0,0,33.85453065,,0.000007089816041528485,0.109714900004377,,,31112484745,1925,3803,919005053.432396,100828547.5408524690192735973,1376101.96035229,150978.8889758786604014619733,2812130.165395,308532.579895604579233933915,5233315755.219765,574172714.7752672180590969114,,,
2017-12-11,5634,4319,3914228,906.281083584163,3743686067.225271900262855,0.171978446090251,0.02069372850699730265429241623,0.17107,0.02058441750214596253,499.253429,60.073893855813331686491,0,0,0,0,0,26.01262771,,0.000007131150590128913,0.120327453686479,,,31112484745,2903,5761,1196053127.960708,143918027.3612604329460628671,2501933.63016644,301051.3030104965877803475648,2727711.133807,328218.535123254914995695553,14413639643.388857,1734356556.643470380145160165,,,
2017-12-12,6598,4320,4296073,994.461342592593,4295965104.02184065029796,0.171802031566754,0.02372216614841232599997999803,0.17107,0.02362108833056548856,593.232415,81.91263971046754599932,0,0,0,0,0,24.47862129,,0.000007920101220417202,0.138078496116008,,,31112484745,3453,6836,1271006417.259751,175498654.649021771867965194,2327916.74216662,321435.242841643636428785253,2611477.381021,360588.869412350892433484168,15913638849.450994,2197331320.065473092872134912,,,
2017-12-13,6444,4320,4226586,978.376388888889,4215474797.11316535662801,0.171895902102102,0.0232904201955420826285911568,0.17107,0.02317851754537354286,572.413354,77.557099251155181220292,0,0,0,0,0,24.30387238,,0.000008204067223316796,0.135491421905498,,,31112484745,3330,6603,1280145166.11549,173448688.802437677838533964,2488498.90697961,337170.2553169449601980328958,2509971.063638,340079.548353967827780081724,16431558282.786376,2226335195.857789085626793895,,,
2017-12-14,9816,4319,4866169,1126.68881685575,7415068813.5917524530844,0.172757629614847,0.04117349424728780023963473064,0.17107,0.0407712798363042184,865.688482,206.32037967315956811184,0,0,0,0,0,20.56778603,,0.00001435478609000586,0.23833097466712,,,31112484745,5011,9940,1512680300.409226,360518570.3562827131751268491,2570082.49566244,612530.2661661335349228869728,4323812.606434,1030498.47276939575272025008,25546620006.884693,6088550845.691376727373898394,,,
