Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,0.047986,0.050829,0.047956,0.050077,0.050077,42730117
2019-03-16,0.050112,0.051876,0.049740,0.051621,0.051621,44616837
2019-03-17,0.051600,0.051762,0.050015,0.050207,0.050207,28870444
2019-03-18,0.050311,0.051134,0.049668,0.050452,0.050452,37198857
2019-03-19,0.050457,0.053691,0.049756,0.052594,0.052594,46089907
2019-03-20,0.052719,0.053923,0.051366,0.053891,0.053891,47370105
2019-03-21,0.053957,0.054958,0.050767,0.052900,0.052900,66543590
2019-03-22,0.052906,0.059172,0.052668,0.058062,0.058062,119817467
2019-03-23,0.057993,0.064727,0.057047,0.063781,0.063781,137854803
2019-03-24,0.063723,0.064347,0.059715,0.061704,0.061704,102441666
2019-03-25,0.061850,0.061850,0.057534,0.059025,0.059025,74748664
2019-03-26,0.059206,0.062370,0.059131,0.062370,0.062370,79200005
2019-03-27,0.062232,0.068331,0.061273,0.067595,0.067595,113386031
2019-03-28,0.067593,0.067593,0.065003,0.065828,0.065828,78259559
2019-03-29,0.065763,0.072777,0.065763,0.071289,0.071289,125904169
2019-03-30,0.071257,0.073712,0.068405,0.071739,0.071739,94907668
2019-03-31,0.071739,0.072125,0.069393,0.069746,0.069746,67772020
2019-04-01,0.069651,0.072756,0.069019,0.072330,0.072330,81836246
2019-04-02,0.072310,0.085467,0.070908,0.085467,0.085467,201276067
2019-04-03,0.085437,0.099958,0.084840,0.090723,0.090723,300935984
2019-04-04,0.090518,0.094088,0.083283,0.087370,0.087370,182769802
2019-04-05,0.087355,0.092228,0.087342,0.091226,0.091226,122685904
2019-04-06,0.091214,0.093681,0.087901,0.090289,0.090289,114652737
2019-04-07,0.090161,0.091286,0.088536,0.090484,0.090484,100804121
2019-04-08,0.090466,0.091622,0.083341,0.087009,0.087009,134978650
2019-04-09,0.086989,0.087018,0.081707,0.083749,0.083749,122878696
2019-04-10,0.083779,0.092479,0.083535,0.089964,0.089964,131422301
2019-04-11,0.089929,0.090716,0.077629,0.083385,0.083385,163656337
2019-04-12,0.083584,0.085376,0.080397,0.083463,0.083463,110371615
2019-04-13,0.083485,0.085507,0.082907,0.083731,0.083731,71755835
2019-04-14,0.083731,0.085479,0.081372,0.084643,0.084643,82514758
2019-04-15,0.084643,0.085634,0.081360,0.082307,0.082307,73555913
2019-04-16,0.082265,0.083860,0.080451,0.083783,0.083783,65962870
2019-04-17,0.083785,0.084560,0.082078,0.083074,0.083074,66210752
2019-04-18,0.083066,0.083883,0.081377,0.081775,0.081775,70016365
2019-04-19,0.081739,0.081782,0.078210,0.079500,0.079500,82646736
2019-04-20,0.079515,0.079515,0.075401,0.076506,0.076506,77410325
2019-04-21,0.076556,0.077978,0.071989,0.074106,0.074106,89301951
2019-04-22,0.074101,0.079376,0.072221,0.078040,0.078040,90476347
2019-04-23,0.078067,0.080333,0.074321,0.074524,0.074524,100698845
2019-04-24,0.074524,0.075840,0.068737,0.072645,0.072645,90318024
2019-04-25,0.072643,0.076030,0.068668,0.069244,0.069244,96537993
2019-04-26,0.069347,0.070828,0.066881,0.069219,0.069219,83227767
2019-04-27,0.069211,0.071602,0.068274,0.070196,0.070196,50161507
2019-04-28,0.070189,0.070646,0.068020,0.068591,0.068591,42979831
2019-04-29,0.068620,0.068970,0.064204,0.064631,0.064631,69287156
2019-04-30,0.064661,0.070346,0.064661,0.070346,0.070346,62990602
2019-05-01,0.070338,0.070770,0.067533,0.069014,0.069014,58865338
2019-05-02,0.069020,0.069710,0.068278,0.068579,0.068579,55122570
2019-05-03,0.068575,0.071937,0.067652,0.069858,0.069858,77726743
2019-05-04,0.069858,0.071954,0.065832,0.066880,0.066880,75467766
2019-05-05,0.066907,0.067966,0.065709,0.066146,0.066146,49098472
2019-05-06,0.066164,0.068471,0.063682,0.066780,0.066780,60289464
2019-05-07,0.066759,0.068643,0.064036,0.064036,0.064036,53650713
2019-05-08,0.064017,0.064990,0.062168,0.064606,0.064606,40605280
2019-05-09,0.064606,0.065069,0.060437,0.061691,0.061691,60306852
2019-05-10,0.061695,0.064837,0.059106,0.063428,0.063428,87926145
2019-05-11,0.063355,0.078432,0.063010,0.075171,0.075171,187252193
2019-05-12,0.075145,0.076754,0.068444,0.070086,0.070086,141023789
2019-05-13,0.070086,0.076612,0.069530,0.073072,0.073072,124764722
2019-05-14,0.073016,0.084571,0.072869,0.084505,0.084505,192076841
2019-05-15,0.084562,0.094902,0.083558,0.093951,0.093951,207490352
2019-05-16,0.093996,0.100402,0.084326,0.088161,0.088161,270983571
2019-05-17,0.088207,0.090825,0.076633,0.083260,0.083260,208531469
2019-05-18,0.083260,0.084879,0.078879,0.079104,0.079104,116482954
2019-05-19,0.079063,0.088229,0.078626,0.086996,0.086996,145752504
2019-05-20,0.086962,0.086993,0.080144,0.084848,0.084848,133738559
2019-05-21,0.084844,0.086443,0.082453,0.084617,0.084617,97465476
2019-05-22,0.084603,0.085460,0.077680,0.077955,0.077955,130856368
2019-05-23,0.077914,0.080695,0.074189,0.080690,0.080690,101768393
2019-05-24,0.080725,0.083375,0.078447,0.080869,0.080869,106320607
2019-05-25,0.080869,0.082559,0.079759,0.080502,0.080502,62522128
2019-05-26,0.080502,0.086936,0.078697,0.086014,0.086014,111190328
2019-05-27,0.086038,0.093476,0.085363,0.091695,0.091695,171736300
2019-05-28,0.091549,0.093248,0.087621,0.092815,0.092815,180587854
2019-05-29,0.092874,0.093769,0.086168,0.090867,0.090867,154832177
2019-05-30,0.090832,0.096768,0.081744,0.084510,0.084510,232348614
2019-05-31,0.084510,0.089937,0.081873,0.089441,0.089441,136542078
2019-06-01,0.089462,0.092815,0.086398,0.090533,0.090533,151835927
2019-06-02,0.090695,0.097519,0.090614,0.096578,0.096578,187162218
2019-06-03,0.096586,0.098342,0.088472,0.088708,0.088708,227861801
2019-06-04,0.088447,0.088447,0.079821,0.082486,0.082486,184181601
2019-06-05,0.082719,0.085117,0.080473,0.083438,0.083438,118371207
2019-06-06,0.083391,0.083979,0.078934,0.083472,0.083472,154264120
2019-06-07,0.083406,0.087672,0.082764,0.085807,0.085807,139056742
2019-06-08,0.085856,0.086594,0.082322,0.084213,0.084213,126559141
2019-06-09,0.084205,0.084278,0.077631,0.079470,0.079470,122067718
2019-06-10,0.079430,0.085685,0.078350,0.085537,0.085537,139307413
2019-06-11,0.085595,0.089169,0.082589,0.087965,0.087965,152723260
2019-06-12,0.087998,0.096554,0.086493,0.096525,0.096525,247353617
2019-06-13,0.096331,0.096988,0.088704,0.089739,0.089739,228176588
2019-06-14,0.089776,0.091249,0.085711,0.090619,0.090619,205015950
2019-06-15,0.090657,0.092738,0.090485,0.091683,0.091683,159441139
2019-06-16,0.091695,0.094279,0.090633,0.092321,0.092321,197578316
2019-06-17,0.092291,0.093908,0.091552,0.093557,0.093557,158000946
2019-06-18,0.093596,0.093698,0.088721,0.089148,0.089148,146225452
2019-06-19,0.089155,0.091582,0.088951,0.089979,0.089979,114753636
2019-06-20,0.089979,0.090263,0.085559,0.087385,0.087385,159470236
2019-06-21,0.087403,0.091294,0.087403,0.089562,0.089562,124230175
2019-06-22,0.089629,0.097834,0.089253,0.094367,0.094367,243264334
2019-06-23,0.094403,0.102144,0.094123,0.096644,0.096644,245604694
2019-06-24,0.096644,0.099070,0.094098,0.097719,0.097719,135761450
2019-06-25,0.097813,0.098242,0.093671,0.096357,0.096357,193143079
